name,name2
gjnfmdxzz,国际内分泌代谢杂志
gjsw,国际商务
gjswyj,国际商务研究
gjwtyj,国际问题研究
gjxwj,国际新闻界
gjzzyj,国际政治研究
gjjcgxyxb,国家检察官学院学报
gjjyxzxyxb,国家教育行政学院学报
gjtsgxk,国家图书馆学刊
gjxzxyxb,国家行政学院学报
gtzykjgl,国土资源科技管理
gtzyyg,国土资源遥感
gwllds,国外理论动态
gwshkx,国外社会科学
gwwx,国外文学
gwyx-wsxfcgmwhjwsxzz,国外医学. 卫生学分册（改名为：环境卫生学杂志）
gsxb,果树学报
gcgcxb,过程工程学报
hebgcdxxb,哈尔滨工程大学学报
hebgydxxb,哈尔滨工业大学学报
hebykdxxb,哈尔滨医科大学学报
hjgcdxxb,海军工程大学学报
hxyqdz,海相油气地质
hydzydsjdz,海洋地质与第四纪地质
hygc,海洋工程
hyhztb,海洋湖沼通报
hyhjkx,海洋环境科学
hyjs,海洋技术
hykx,海洋科学
hykxjz,海洋科学进展
hyscyjgmwyykxjz,海洋水产研究（改名为：渔业科学进展）
hytb,海洋通报
hyxb,海洋学报
hyxyj,海洋学研究
hyyy,海洋渔业
hyyhz,海洋与湖沼
hyyb,海洋预报
hncl,含能材料
hyxb,汉语学报
hyxx,汉语学习
hj,焊接
hjjs,焊接技术
hjxb,焊接学报
hzsfdxxb-shkxb,杭州师范大学学报. 社会科学版
hhjs,航海技术
hkclxb,航空材料学报
hkdlxb,航空动力学报
hkxb,航空学报
hkzzjs,航空制造技术
htkz,航天控制
htyxyyxgc,航天医学与医学工程
hchx,合成化学
hcszjsl,合成树脂及塑料
hcxwgy,合成纤维工业
hcxjgy,合成橡胶工业
hfgydxxb-zrkxb,合肥工业大学学报. 自然科学版
hbdxxb-zxshkxb,河北大学学报. 哲学社会科学版
hbdxxb-zrkxb,河北大学学报. 自然科学版
hbfx,河北法学
hbgydxxb,河北工业大学学报
hbjmdxxb,河北经贸大学学报
hbnydxxb,河北农业大学学报
hbsfdxxb-jykxb,河北师范大学学报. 教育科学版
hbsfdxxb-zxshkxb,河北师范大学学报. 哲学社会科学版
hbsfdxxb-zrkxb,河北师范大学学报. 自然科学版
hbxk,河北学刊
hhdxxb-zrkxb,河海大学学报. 自然科学版
hndxxb-shkxb,河南大学学报. 社会科学版
hndxxb-zrkxb,河南大学学报. 自然科学版
hngydxxb-zrkxb,河南工业大学学报. 自然科学版
hnjrglgbxyxbgmwzx,河南金融管理干部学院学报（改名为：征信）
hnkjdxxb-zrkxb,河南科技大学学报. 自然科学版
hnlgdxxb-zrkxb,河南理工大学学报. 自然科学版
hnnydxxb,河南农业大学学报
hnnykx,河南农业科学
hnshkx,河南社会科学
hnszfglgbxyxb,河南省政法管理干部学院学报
hnsfdxxb-zxshkxb,河南师范大学学报. 哲学社会科学版
hnsfdxxb-zrkxb,河南师范大学学报. 自然科学版
hdzxyscjs,核电子学与探测技术
hdlgc,核动力工程
hhxyfshx,核化学与放射化学
hjs,核技术
hjbydlztwl,核聚变与等离子体物理
hkxygc,核科学与工程
hnxb,核农学报
hljdxzrkxxb,黑龙江大学自然科学学报
hljgjyj,黑龙江高教研究
hljmzck,黑龙江民族丛刊
hljxmsy,黑龙江畜牧兽医
hlmxk,红楼梦学刊
hwjs,红外技术
hwyhmbxb,红外与毫米波学报
hwyjggc,红外与激光工程
hgjjgl,宏观经济管理
hgjjyj,宏观经济研究
hbdxxb-zxshkxb,湖北大学学报. 哲学社会科学版
hbnykx,湖北农业科学
hbshkx,湖北社会科学
hndxxb-shkxb,湖南大学学报. 社会科学版
hndxxb-zrkxb,湖南大学学报. 自然科学版
hnkjdxxb-shkxb,湖南科技大学学报. 社会科学版
hnkjdxxb-zrkxb,湖南科技大学学报. 自然科学版
hnnydxxb,湖南农业大学学报
hnshkx,湖南社会科学
hnsfdxjykxxb,湖南师范大学教育科学学报
hnsfdxshkxxb,湖南师范大学社会科学学报
hnsfdxzrkxxb,湖南师范大学自然科学学报
hbkx,湖泊科学
hc,花城
hbdldxxb-zrkxb,华北电力大学学报. 自然科学版
hbnxb,华北农学报
hddl,华东电力
hdlgdxxb-zrkxb,华东理工大学学报. 自然科学版
hdsfdxxb-jykxb,华东师范大学学报. 教育科学版
hdsfdxxb-zxshkxb,华东师范大学学报. 哲学社会科学版
hdsfdxxb-zrkxb,华东师范大学学报. 自然科学版
hdzfdxxb,华东政法大学学报
hnlgdxxb-zrkxb,华南理工大学学报. 自然科学版
hnnydxxb,华南农业大学学报
hnsfdxxb-shkxb,华南师范大学学报. 社会科学版
hnsfdxxb-zrkxb,华南师范大学学报. 自然科学版
hqdxxb-zrkxb,华侨大学学报. 自然科学版
hqhrlsyj,华侨华人历史研究
hxkqyxzz,华西口腔医学杂志
hxyxzz,华西药学杂志
hxkg,华夏考古
hzkjdxxb-shkxb,华中科技大学学报. 社会科学版
hzkjdxxb-yxb,华中科技大学学报. 医学版
hzkjdxxb-zrkxb,华中科技大学学报. 自然科学版
hznydxxb,华中农业大学学报
hzsfdxxb-rwshkxb,华中师范大学学报. 人文社会科学版
hzsfdxxb-zrkxb,华中师范大学学报. 自然科学版
hghb,化工环保
hgjz,化工进展
hgkwyjg,化工矿物与加工
hgxxcl,化工新型材料
hgxb,化工学报
hxfygcygy,化学反应工程与工艺
hxgc,化学工程
hxjx,化学教学
hxjy,化学教育
hxjz,化学进展
hxsj,化学世界
hxsj,化学试剂
hxtb,化学通报
hxxb,化学学报
hxyjyyy,化学研究与应用
hjbh,环境保护
hjgc,环境工程
hjgcxb,环境工程学报
hjhx,环境化学
hjkx,环境科学
hjkxxb,环境科学学报
hjkxyj,环境科学研究
hjkxyjs,环境科学与技术
hjkcxb,环境昆虫学报
hjwryfz,环境污染与防治
hjyjkzz,环境与健康杂志
hjyzyyx,环境与职业医学
hqflpl,环球法律评论
hz,黄钟
hzyj,回族研究
hnt,混凝土
hntysnzp,混凝土与水泥制品
hgp,火工品
hlyzhkz,火力与指挥控制
hpfsykzxb,火炮发射与控制学报
hzyxb,火炸药学报
jcdcd,机车电传动
jcyyy,机床与液压
jqr,机器人
jxcd,机械传动
jxgccl,机械工程材料
jxgcxb,机械工程学报
jxkxyjs,机械科学与技术
jxqd,机械强度
jxsj,机械设计
jxsjyyj,机械设计与研究
jxsjyzz,机械设计与制造
jcyxylc,基础医学与临床
jgjs,激光技术
jgygdzxjz,激光与光电子学进展
jgyhw,激光与红外
jgzz,激光杂志
jldxshkxxb,吉林大学社会科学学报
jldxxb-dqkxb,吉林大学学报. 地球科学版
jldxxb-gxb,吉林大学学报. 工学版
jldxxb-lxb,吉林大学学报. 理学版
jldxxb-yxb,吉林大学学报. 医学版
jlnydxxb,吉林农业大学学报
jlnykx,吉林农业科学
jsdxxb-shkxb,吉首大学学报.社会科学版
jdyj,极地研究
